building,evaluator,Netherite Ingots,Diamonds,Gold Ingots,Emeralds,Iron Ingots,Copper Ingots,Redstone Dust,Lapis Lazuli,Coal
Ass'ociated Investments Headquarters,Cowman7,,0.5,,,,,,,
Ass'ociated Investments Headquarters,Decoy,,,,,,,,,
Ass'ociated Investments Headquarters,Decoy,,,,,,,,,
Pancake House,Decoy,,,,,,,,,
Pancake House,OldManReidGaming,,8,,,,,,,
Pancake House,Axeman_76,,16,,,,,,,
Pancake House,Cowman7,,12,,,,,,,
Pancake House,vlueban,,10,,,,,,,
Pancake House,Decoy,,,,,,,,,
Warped Village,Decoy,,,,,,,,,
Warped Village,OldManReidGaming,,10,,,,,,,
Warped Village,Axeman_76,,6,,,,,,,
Warped Village,Cowman7,,2,,,,,,,
Warped Village,vlueban,,6,,,,,,,
Warped Village,Decoy,,,,,,,,,
Bitch Village,Decoy,,,,,,,,,
Bitch Village,OldManReidGaming,,20,,,,,,,
Bitch Village,Axeman_76,,7,,,,,,,
Bitch Village,Cowman7,,8,,,,,,,
Bitch Village,vlueban,,9,,,,,,,
Bitch Village,Decoy,,,,,,,,,
Papo Welfare House,Decoy,,,,,,,,,
Papo Welfare House,OldManReidGaming,,8,,,,,,,
Papo Welfare House,Axeman_76,,14,,,,,,,
Papo Welfare House,Cowman7,,10,,,,,,,
Papo Welfare House,vlueban,,10,,,,,,,
Papo Welfare House,Decoy,,,,,,,,,
Blackstone Castle,Decoy,,,,,,,,,
Blackstone Castle,OldManReidGaming,,58,,,,,,,
Blackstone Castle,Axeman_76,,45,,,,,,,
Blackstone Castle,Cowman7,,43,,,,,,,
Blackstone Castle,vlueban,,50,,,,,,,
Blackstone Castle,Decoy,,,,,,,,,
Lighthouse,Decoy,,,,,,,,,
Lighthouse,OldManReidGaming,,104,,,,,,,
Lighthouse,Axeman_76,,100,,,,,,,
Lighthouse,Cowman7,,100,,,,,,,
Lighthouse,vlueban,,100,,,,,,,
Lighthouse,Tallerfiber1,,100,,,,,,,
Green Fog Ring Building,Decoy,,,,,,,,,
Green Fog Ring Building,OldManReidGaming,,85,,,,,,,
Green Fog Ring Building,Axeman_76,,100,,,,,,,
Green Fog Ring Building,Cowman7,,110,,,,,,,
Green Fog Ring Building,vlueban,,90,,,,,,,
Green Fog Ring Building,Decoy,,,,,,,,,
Railroad HQ,Decoy,,,,,,,,,
Railroad HQ,OldManReidGaming,,50,,,,,,,
Railroad HQ,Axeman_76,,100,,,,,,,
Railroad HQ,Cowman7,,92,,,,,,,
Railroad HQ,vlueban,,100,,,,,,,
Railroad HQ,Decoy,,,,,,,,,
Garrett,Decoy,,,,,,,,,
Garrett,OldManReidGaming,,64,,,,,,,
Garrett,Axeman_76,,50,,,,,,,
Garrett,Cowman7,,45,,,,,,,
Garrett,vlueban,,70,,,,,,,
Garrett,Decoy,,,,,,,,,
I Dome,Decoy,,,,,,,,,
I Dome,OldManReidGaming,,35,,,,,,,
I Dome,Axeman_76,,50,,,,,,,
I Dome,Cowman7,,47,,,,,,,
I Dome,vlueban,,50,,,,,,,
I Dome,Decoy,,,,,,,,,
NoI I Tower,Decoy,,,,,,,,,
NoI I Tower,OldManReidGaming,,350,,,,,,,
NoI I Tower,Axeman_76,,300,,,,,,,
NoI I Tower,Cowman7,,163,,,,,,,
NoI I Tower,vlueban,,160,,,,,,,
NoI I Tower,Decoy,,,,,,,,,
Other Tower - Cool Looking One,Decoy,,,,,,,,,
Other Tower - Cool Looking One,OldManReidGaming,,125,,,,,,,
Other Tower - Cool Looking One,Axeman_76,,75,,,,,,,
Other Tower - Cool Looking One,Cowman7,,75,,,,,,,
Other Tower - Cool Looking One,Decoy,,,,,,,,,
Other Tower - Cool Looking One,Decoy,,,,,,,,,
Factory,Decoy,,,,,,,,,
Factory,OldManReidGaming,,64,,,,,,,
Factory,Axeman_76,,60,,,,,,,
Factory,Cowman7,,70,,,,,,,
Factory,vlueban,,80,,,,,,,
Factory,Decoy,,,,,,,,,
UN Dome,Decoy,,,,,,,,,
UN Dome,OldManReidGaming,,45,,,,,,,
UN Dome,Axeman_76,,60,,,,,,,
UN Dome,Cowman7,,56,,,,,,,
UN Dome,Decoy,,,,,,,,,
UN Dome,Tallerfiber1,,57,,,,,,,
UN Resort Station,Decoy,,,,,,,,,
UN Resort Station,OldManReidGaming,,,10,,,,,,
UN Resort Station,Axeman_76,,1,,,,,,,
UN Resort Station,Cowman7,,,20,,,,,,
UN Resort Station,vlueban,,,7,,,,,,
UN Resort Station,Decoy,,,,,,,,,
Esophagus Mausoleum,Decoy,,,,,,,,,
Esophagus Mausoleum,OldManReidGaming,,,,2,,,,,
Esophagus Mausoleum,Axeman_76,,,,,3,,,,
Esophagus Mausoleum,Cowman7,,,,,3,,,,
Esophagus Mausoleum,vlueban,,,,,,,,,1
Esophagus Mausoleum,Decoy,,,,,,,,,
UN Nether Portal,Decoy,,,,,,,,,
UN Nether Portal,OldManReidGaming,,,5,,,,,,
UN Nether Portal,Axeman_76,,,14,,,,,,
UN Nether Portal,Cowman7,,,6,,,,,,
UN Nether Portal,vlueban,,,4,,,,,,
UN Nether Portal,Decoy,,,,,,,,,
UN Resort Hotel,Decoy,,,,,,,,,
UN Resort Hotel,OldManReidGaming,,,,1,,,,,
UN Resort Hotel,Axeman_76,,1,,,,,,,
UN Resort Hotel,Cowman7,,,,,,,,1,
UN Resort Hotel,vlueban,,,,,,1,,,
UN Resort Hotel,Decoy,,,,,,,,,
UN Resort Pool,Decoy,,,,,,,,,
UN Resort Pool,OldManReidGaming,,12,,,,,,,
UN Resort Pool,Axeman_76,,15,,,,,,,
UN Resort Pool,Cowman7,,23,,,,,,,
UN Resort Pool,vlueban,,15,,,,,,,
UN Resort Pool,Decoy,,,,,,,,,
UN Resort,Decoy,,,,,,,,,
UN Resort,OldManReidGaming,,,1280,,,,,,
UN Resort,Axeman_76,,43,,,,,,,
UN Resort,Cowman7,,43,,,,,,,
UN Resort,vlueban,,43,,,,,,,
UN Resort,Decoy,,,,,,,,,
West NRC Netherack Suicide Tower,Decoy,,,,,,,,,
West NRC Netherack Suicide Tower,OldManReidGaming,,,,,,,,,6
West NRC Netherack Suicide Tower,Axeman_76,,,,,,,,1,
West NRC Netherack Suicide Tower,Cowman7,,,,,,,,1,
West NRC Netherack Suicide Tower,vlueban,,,,,,,,1,
West NRC Netherack Suicide Tower,Decoy,,,,,,,,,
NoI Shopping Center,Decoy,,,,,,,,,
NoI Shopping Center,OldManReidGaming,,2,,,,,,,
NoI Shopping Center,Axeman_76,,15,,,,,,,
NoI Shopping Center,Cowman7,,5,,,,,,,
NoI Shopping Center,vlueban,,10,,,,,,,
NoI Shopping Center,Decoy,,,,,,,,,
Islander Station,Decoy,,,,,,,,,
Islander Station,OldManReidGaming,,,,,,1,,,
Islander Station,Axeman_76,,,,4,,,,,
Islander Station,Cowman7,,,,,,2,,,
Islander Station,vlueban,,,,2,,,,,
Islander Station,Decoy,,,,,,,,,
Historic OMRC Capitol,Decoy,,,,,,,,,
Historic OMRC Capitol,OldManReidGaming,,15,,,,,,,
Historic OMRC Capitol,Axeman_76,,10,,,,,,,
Historic OMRC Capitol,Cowman7,,10,1,,,,,,
Historic OMRC Capitol,vlueban,,10,,,,,,,
Historic OMRC Capitol,Decoy,,,,,,,,,
Medal of Papa Quinn Building,Decoy,,,,,,,,,
Medal of Papa Quinn Building,OldManReidGaming,,60,,,,,,,
Medal of Papa Quinn Building,Axeman_76,,38,,,,,,,
Medal of Papa Quinn Building,Cowman7,,35,,,,,,,
Medal of Papa Quinn Building,Decoy,,,,,,,,,
Medal of Papa Quinn Building,Decoy,,,,,,,,,
"Realty Building - ""Rental Shit""",Decoy,,,,,,,,,
"Realty Building - ""Rental Shit""",OldManReidGaming,,27,,,,,,,
"Realty Building - ""Rental Shit""",Axeman_76,,43,,,,,,,
"Realty Building - ""Rental Shit""",Cowman7,,40,,,,,,,
"Realty Building - ""Rental Shit""",Decoy,,,,,,,,,
"Realty Building - ""Rental Shit""",Decoy,,,,,,,,,
Historic OMRC Pene Tower,Decoy,,,,,,,,,
Historic OMRC Pene Tower,OldManReidGaming,,23,,,,,,,
Historic OMRC Pene Tower,Axeman_76,,10,,,,,,,
Historic OMRC Pene Tower,Cowman7,2,,,,,,,,
Historic OMRC Pene Tower,Decoy,,,,,,,,,
Historic OMRC Pene Tower,Decoy,,,,,,,,,
UN Building,Decoy,,,,,,,,,
UN Building,OldManReidGaming,,300,,,,,,,
UN Building,Axeman_76,,400,,,,,,,
UN Building,Decoy,,350,,,,,,,
UN Building,Decoy,,350,,,,,,,
UN Building,Decoy,,350,,,,,,,
NOI International Museum of History,Decoy,,,,,,,,,
NOI International Museum of History,OldManReidGaming,,128,,,,,,,
NOI International Museum of History,Axeman_76,,150,,,,,,,
NOI International Museum of History,Cowman7,,130,,,,,,,
NOI International Museum of History,Decoy,,,,,,,,,
NOI International Museum of History,Decoy,,,,,,,,,
Antichrist,Decoy,,,,,,,,,
Antichrist,OldManReidGaming,,20,,,,,,,
Antichrist,Axeman_76,,35,,,,,,,
Antichrist,Cowman7,,30,,,,,,,
Antichrist,Decoy,,,,,,,,,
Antichrist,Decoy,,,,,,,,,
Ghoul's Secret Base,Decoy,,,,,,,,,
Ghoul's Secret Base,OldManReidGaming,,32,,,,,,,
Ghoul's Secret Base,Axeman_76,,36,,,,,,,
Ghoul's Secret Base,Decoy,,,,,,,,,
Ghoul's Secret Base,Decoy,,,,,,,,,
Ghoul's Secret Base,Decoy,,,,,,,,,
Yer's Slave Quarters,Decoy,,,,,,,,,
Yer's Slave Quarters,OldManReidGaming,,,8,,,,,,
Yer's Slave Quarters,Axeman_76,,1,,,,,,,
Yer's Slave Quarters,Decoy,,,,,,,,,
Yer's Slave Quarters,Decoy,,,,,,,,,
Yer's Slave Quarters,Decoy,,,,,,,,,
Grand Isle of Knoo Embassy,Decoy,,,,,,,,,
Grand Isle of Knoo Embassy,OldManReidGaming,,58.000,,,,,,,
Grand Isle of Knoo Embassy,Axeman_76,,45.000,,,,,,,
Grand Isle of Knoo Embassy,Cowman7,,32.000,,,,,,,
Grand Isle of Knoo Embassy,Decoy,,,,,,,,,
Grand Isle of Knoo Embassy,Tallerfiber1,,50.000,,,,,,,
Guanknoonamo Food Shop for Nether Travlers,Decoy,,,,,,,,,
Guanknoonamo Food Shop for Nether Travlers,OldManReidGaming,,,6,,,,,,
Guanknoonamo Food Shop for Nether Travlers,Axeman_76,,1.000,2,,,,,,
Guanknoonamo Food Shop for Nether Travlers,Cowman7,,,,64,,,,,
Guanknoonamo Food Shop for Nether Travlers,Decoy,,,,,,,,,
Guanknoonamo Food Shop for Nether Travlers,Tallerfiber1,,1.000,,,,,,,
Isle of Knoo Forestry Division HQ,Decoy,,,,,,,,,
Isle of Knoo Forestry Division HQ,OldManReidGaming,,,16,,,,,,
Isle of Knoo Forestry Division HQ,Axeman_76,,3.000,,,,,,,
Isle of Knoo Forestry Division HQ,Cowman7,,2.000,,,,,,,
Isle of Knoo Forestry Division HQ,Decoy,,,,,,,,,
Isle of Knoo Forestry Division HQ,Tallerfiber1,,4.000,,,,,,,
Condo from Hell,Decoy,,,,,,,,,
Condo from Hell,OldManReidGaming,,3.500,,,,,,,
Condo from Hell,Axeman_76,,6.000,,,,,,,
Condo from Hell,Cowman7,,6.000,,,,,,,
Condo from Hell,Decoy,,,,,,,,,
Condo from Hell,Tallerfiber1,,6.000,,,,,,,
OMR vs. Knoo War Memorial,Decoy,,,,,,,,,
OMR vs. Knoo War Memorial,OldManReidGaming,,,4,,,,,,
OMR vs. Knoo War Memorial,Axeman_76,,,12,,,,,,
OMR vs. Knoo War Memorial,Cowman7,,,,,,,5184,,
OMR vs. Knoo War Memorial,Decoy,,,,,,,,,
OMR vs. Knoo War Memorial,Tallerfiber1,,1.500,,,,,,,
Zombie Spawner w/ Observation,Decoy,,,,,,,,,
Zombie Spawner w/ Observation,OldManReidGaming,,8,,,,,,,
Zombie Spawner w/ Observation,Axeman_76,,8,,,,,,,
Zombie Spawner w/ Observation,Decoy,,,,,,,,,
Zombie Spawner w/ Observation,Decoy,,,,,,,,,
Zombie Spawner w/ Observation,Decoy,,,,,,,,,
Gardian Farm,Decoy,,,,,,,,,
Gardian Farm,OldManReidGaming,,64,,,,,,,
Gardian Farm,Axeman_76,,70,,,,,,,
Gardian Farm,Decoy,,,,,,,,,
Gardian Farm,Decoy,,,,,,,,,
Gardian Farm,Decoy,,,,,,,,,
Gardian Farm AFK Platform,Decoy,,,,,,,,,
Gardian Farm AFK Platform,OldManReidGaming,,,,,,10,,,
Gardian Farm AFK Platform,Axeman_76,,,,,10,,,,
Gardian Farm AFK Platform,Decoy,,,,,,,,,
Gardian Farm AFK Platform,Decoy,,,,,,,,,
Gardian Farm AFK Platform,Decoy,,,,,,,,,
Amythist Farm,Decoy,,,,,,,,,
Amythist Farm,OldManReidGaming,,,70,,,,,,
Amythist Farm,Axeman_76,,3,,,,,,,
Amythist Farm,Decoy,,,,,,,,,
Amythist Farm,Decoy,,,,,,,,,
Amythist Farm,Decoy,,,,,,,,,
Presidential Palace of the Confederacy of EOMR,Decoy,,,,,,,,,
Presidential Palace of the Confederacy of EOMR,OldManReidGaming,,64,,,,,,,
Presidential Palace of the Confederacy of EOMR,Axeman_76,,30,,,,,,,
Presidential Palace of the Confederacy of EOMR,Cowman7,,30,,,,,,,
Presidential Palace of the Confederacy of EOMR,Decoy,,,,,,,,,
Presidential Palace of the Confederacy of EOMR,Decoy,,,,,,,,,
East OMR Crack House,Decoy,,,,,,,,,
East OMR Crack House,OldManReidGaming,,16,,,,,,,
East OMR Crack House,Axeman_76,,,2,,,,,,
East OMR Crack House,Cowman7,,,16,,,,,,
East OMR Crack House,Decoy,,,,,,,,,
East OMR Crack House,Decoy,,,,,,,,,
NOI Canyon,Decoy,,,,,,,,,
NOI Canyon,OldManReidGaming,,10,,,,,,,
NOI Canyon,Axeman_76,,5,,,,,,,
NOI Canyon,Decoy,,,,,,,,,
NOI Canyon,Decoy,,,,,,,,,
NOI Canyon,Decoy,,,,,,,,,
OMR College School of Business,Decoy,,,,,,,,,
OMR College School of Business,OldManReidGaming,,,,4,,,,,
OMR College School of Business,Axeman_76,,,,6,,,,,
OMR College School of Business,Decoy,,,,,,,,,
OMR College School of Business,Decoy,,,,,,,,,
OMR College School of Business,Decoy,,,,,,,,,
OMR College Entrapranure Center,Decoy,,,,,,,,,
OMR College Entrapranure Center,OldManReidGaming,,,,2,,,,,
OMR College Entrapranure Center,Axeman_76,,,,4,,,,,
OMR College Entrapranure Center,Decoy,,,,,,,,,
OMR College Entrapranure Center,Decoy,,,,,,,,,
OMR College Entrapranure Center,Decoy,,,,,,,,,
Reid's Armor Stand Building,Decoy,,,,,,,,,
Reid's Armor Stand Building,OldManReidGaming,,451,,,,,,,
Reid's Armor Stand Building,Axeman_76,,220,,,,,,,
Reid's Armor Stand Building,Cowman7,,215,,,,,,,
Reid's Armor Stand Building,Decoy,,,,,,,,,
Reid's Armor Stand Building,Decoy,,,,,,,,,
2nd Bank of OMR,Decoy,,,,,,,,,
2nd Bank of OMR,OldManReidGaming,,,11,,,,,,
2nd Bank of OMR,Axeman_76,,3,,,,,,,
2nd Bank of OMR,Cowman7,,5,,,,,,,
2nd Bank of OMR,Decoy,,,,,,,,,
2nd Bank of OMR,Decoy,,,,,,,,,
NOI Harbor,Decoy,,,,,,,,,
NOI Harbor,OldManReidGaming,,22,,,,,,,
NOI Harbor,Axeman_76,,16,,,,,,,
NOI Harbor,Decoy,,,,,,,,,
NOI Harbor,Decoy,,,,,,,,,
NOI Harbor,Decoy,,,,,,,,,
Dashie Watchtower,Decoy,,,,,,,,,
Dashie Watchtower,OldManReidGaming,,2,,,,,,,
Dashie Watchtower,Axeman_76,,1,,,,,,,
Dashie Watchtower,Decoy,,,,,,,,,
Dashie Watchtower,Decoy,,,,,,,,,
Dashie Watchtower,Decoy,,,,,,,,,
Dashie Pene Island,Decoy,,,,,,,,,
Dashie Pene Island,OldManReidGaming,,22,,,,,,,
Dashie Pene Island,Axeman_76,,11,,,,,,,
Dashie Pene Island,Decoy,,,,,,,,,
Dashie Pene Island,Decoy,,,,,,,,,
Dashie Pene Island,Decoy,,,,,,,,,
The Nelsonia Tower of Peace and Prosperity,Decoy,,,,,,,,,
The Nelsonia Tower of Peace and Prosperity,OldManReidGaming,,,,,,,5,,
The Nelsonia Tower of Peace and Prosperity,Axeman_76,,1,,,,,,,
The Nelsonia Tower of Peace and Prosperity,Decoy,,,,,,,,,
The Nelsonia Tower of Peace and Prosperity,Decoy,,,,,,,,,
The Nelsonia Tower of Peace and Prosperity,Decoy,,,,,,,,,
Yer Mountainside Building,Decoy,,,,,,,,,
Yer Mountainside Building,OldManReidGaming,,3,,,,,,,
Yer Mountainside Building,Axeman_76,,1,,,,,,,
Yer Mountainside Building,Cowman7,,,20,,,,,,
Yer Mountainside Building,Decoy,,,,,,,,,
Yer Mountainside Building,Decoy,,,,,,,,,
Axeman Farms,Decoy,,,,,,,,,
Axeman Farms,OldManReidGaming,,5,,,,,,,
Axeman Farms,Axeman_76,,5,,,,,,,
Axeman Farms,Decoy,,,,,,,,,
Axeman Farms,Decoy,,,,,,,,,
Axeman Farms,Decoy,,,,,,,,,
The Papo Tavern ,Decoy,,,,,,,,,
The Papo Tavern ,OldManReidGaming,,15,,,,,,,
The Papo Tavern ,Axeman_76,,18,,,,,,,
The Papo Tavern ,Decoy,,,,,,,,,
The Papo Tavern ,Decoy,,,,,,,,,
The Papo Tavern ,Decoy,,,,,,,,,
The Church,Decoy,,,,,,,,,
The Church,OldManReidGaming,,27,,,,,,,
The Church,Axeman_76,,11,,,,,,,
The Church,Decoy,,,,,,,,,
The Church,Decoy,,,,,,,,,
The Church,Decoy,,,,,,,,,
The Lookout,Decoy,,,,,,,,,
The Lookout,OldManReidGaming,,,11,,,,,,
The Lookout,Axeman_76,,,6,,,,,,
The Lookout,Decoy,,,,,,,,,
The Lookout,Decoy,,,,,,,,,
The Lookout,Decoy,,,,,,,,,
Dashie Arcology,Decoy,,,,,,,,,
Dashie Arcology,OldManReidGaming,,120,,,,,,,
Dashie Arcology,Axeman_76,,82,,,,,,,
Dashie Arcology,Cowman7,,60,,,,,,,
Dashie Arcology,Decoy,,,,,,,,,
Dashie Arcology,Decoy,,,,,,,,,
Zombie Observation Spawner,Decoy,,,,,,,,,
Zombie Observation Spawner,OldManReidGaming,,1,,,,,,,
Zombie Observation Spawner,Axeman_76,,1,1,,,,,,
Zombie Observation Spawner,Decoy,,,,,,,,,
Zombie Observation Spawner,Decoy,,,,,,,,,
Zombie Observation Spawner,Decoy,,,,,,,,,
Isaac Investments New Reid Building,Decoy,,,,,,,,,
Isaac Investments New Reid Building,OldManReidGaming,,47,,,,,,,
Isaac Investments New Reid Building,Axeman_76,,70,,,,,,,
Isaac Investments New Reid Building,Cowman7,,5,,,,,,,
Isaac Investments New Reid Building,Decoy,,,,,,,,,
Isaac Investments New Reid Building,Decoy,,,,,,,,,
Historic OMRC No Man's Land Wall,Decoy,,,,,,,,,
Historic OMRC No Man's Land Wall,OldManReidGaming,,80,,,,,,,
Historic OMRC No Man's Land Wall,Axeman_76,,10,,,,,,,
Historic OMRC No Man's Land Wall,Decoy,,,,,,,,,
Historic OMRC No Man's Land Wall,Decoy,,,,,,,,,
Historic OMRC No Man's Land Wall,Decoy,,,,,,,,,
Offices for Subjects of First World Nations ,Decoy,,,,,,,,,
Offices for Subjects of First World Nations ,OldManReidGaming,,5,,,,,,,
Offices for Subjects of First World Nations ,Axeman_76,,30,,,,,,,
Offices for Subjects of First World Nations ,Decoy,,,,,,,,,
Offices for Subjects of First World Nations ,Decoy,,,,,,,,,
Offices for Subjects of First World Nations ,Decoy,,,,,,,,,
CDS Mafia Guards,Decoy,,,,,,,,,
CDS Mafia Guards,OldManReidGaming,,,8,,,,,,
CDS Mafia Guards,Axeman_76,,,8,,,,,,
CDS Mafia Guards,Cowman7,,,8,,,,,,
CDS Mafia Guards,Decoy,,,,,,,,,
CDS Mafia Guards,Decoy,,,,,,,,,
Ali's Hot Tub,Decoy,,,,,,,,,
Ali's Hot Tub,OldManReidGaming,,,19,,,,,,
Ali's Hot Tub,Axeman_76,,,4,,,,100,,
Ali's Hot Tub,Cowman7,,,5,,,,,,
Ali's Hot Tub,Decoy,,,,,,,,,
Ali's Hot Tub,Decoy,,,,,,,,,
Ungle Bridge Guard,Decoy,,,,,,,,,
Ungle Bridge Guard,OldManReidGaming,,,15,,,,,,
Ungle Bridge Guard,Axeman_76,,,16,,,,,,
Ungle Bridge Guard,Decoy,,,,,,,,,
Ungle Bridge Guard,Decoy,,,,,,,,,
Ungle Bridge Guard,Decoy,,,,,,,,,
Southmost Opium Farm,Decoy,,,,,,,,,
Southmost Opium Farm,OldManReidGaming,5,,,,,,,,
Southmost Opium Farm,Axeman_76,,10,,,,,,,
Southmost Opium Farm,Decoy,,,,,,,,,
Southmost Opium Farm,Decoy,,,,,,,,,
Southmost Opium Farm,Decoy,,,,,,,,,
OMR Furnace Mining Office,Decoy,,,,,,,,,
OMR Furnace Mining Office,OldManReidGaming,,,10,,,,,,
OMR Furnace Mining Office,Axeman_76,,,16,,,,,,
OMR Furnace Mining Office,Decoy,,,,,,,,,
OMR Furnace Mining Office,Decoy,,,,,,,,,
OMR Furnace Mining Office,Decoy,,,,,,,,,
OMR Logging Dashieland Ofiice,Decoy,,,,,,,,,
OMR Logging Dashieland Ofiice,OldManReidGaming,,,,40,,,,,
OMR Logging Dashieland Ofiice,Axeman_76,,,,60,,,,,
OMR Logging Dashieland Ofiice,Decoy,,,,,,,,,
OMR Logging Dashieland Ofiice,Decoy,,,,,,,,,
OMR Logging Dashieland Ofiice,Decoy,,,,,,,,,
TheArmchair Diplomats' Quarters,Decoy,,,,,,,,,
TheArmchair Diplomats' Quarters,OldManReidGaming,,20,,,,,,,
TheArmchair Diplomats' Quarters,Axeman_76,,7,,,,,,,
TheArmchair Diplomats' Quarters,Decoy,,,,,,,,,
TheArmchair Diplomats' Quarters,Decoy,,,,,,,,,
TheArmchair Diplomats' Quarters,Decoy,,,,,,,,,
"New Reid City Water ""Treatment"" Facilities",Decoy,,,,,,,,,
"New Reid City Water ""Treatment"" Facilities",OldManReidGaming,,36,,,,,,,
"New Reid City Water ""Treatment"" Facilities",Axeman_76,,30,,,,,,,
"New Reid City Water ""Treatment"" Facilities",Cowman7,,15,,,,,,,
"New Reid City Water ""Treatment"" Facilities",Decoy,,,,,,,,,
"New Reid City Water ""Treatment"" Facilities",Decoy,,,,,,,,,
Airmchair Ali Construction HQ,Decoy,,,,,,,,,
Airmchair Ali Construction HQ,OldManReidGaming,,13,,,,,,,
Airmchair Ali Construction HQ,Axeman_76,,5,,,,,,,
Airmchair Ali Construction HQ,Cowman7,,3,,,,,,,
Airmchair Ali Construction HQ,Decoy,,,,,,,,,
Airmchair Ali Construction HQ,Decoy,,,,,,,,,
Fort Ali,Decoy,,,,,,,,,
Fort Ali,OldManReidGaming,,1,,,,,,,
Fort Ali,Axeman_76,,1,,,,,,,
Fort Ali,Cowman7,,,17,,,,,,
Fort Ali,Decoy,,,,,,,,,
Fort Ali,Decoy,,,,,,,,,
The Mud & Stone Representatives Building of Quinn’s Country,Decoy,,,,,,,,,
The Mud & Stone Representatives Building of Quinn’s Country,OldManReidGaming,,35,,,,,,,
The Mud & Stone Representatives Building of Quinn’s Country,Axeman_76,,29,,,,,,,
The Mud & Stone Representatives Building of Quinn’s Country,Decoy,,,,,,,,,
The Mud & Stone Representatives Building of Quinn’s Country,Decoy,,,,,,,,,
The Mud & Stone Representatives Building of Quinn’s Country,Decoy,,,,,,,,,
Base Tavern,Decoy,,,,,,,,,
Base Tavern,OldManReidGaming,,28,,,,,,,
Base Tavern,Axeman_76,,20,,,,,,,
Base Tavern,Decoy,,,,,,,,,
Base Tavern,Decoy,,,,,,,,,
Base Tavern,Decoy,,,,,,,,,
Reid Plains City Hall,Decoy,,,,,,,,,
Reid Plains City Hall,OldManReidGaming,,5,,,,,,,
Reid Plains City Hall,Axeman_76,,4,,,,,,3413,
Reid Plains City Hall,Decoy,,,,,,,,,
Reid Plains City Hall,Decoy,,,,,,,,,
Reid Plains City Hall,Decoy,,,,,,,,,
Ungle Original Mine,Decoy,,,,,,,,,
Ungle Original Mine,OldManReidGaming,,22,,,,,,,
Ungle Original Mine,Axeman_76,,2,,,,,,,
Ungle Original Mine,Decoy,,,,,,,,,
Ungle Original Mine,Decoy,,,,,,,,,
Ungle Original Mine,Decoy,,,,,,,,,
Watering Hole House,Decoy,,,,,,,,,
Watering Hole House,OldManReidGaming,,4,,,,,,,
Watering Hole House,Axeman_76,,3,12,2,,,,,
Watering Hole House,Decoy,,,,,,,,,
Watering Hole House,Decoy,,,,,,,,,
Watering Hole House,Decoy,,,,,,,,,
Yer Beacon Building,Decoy,,,,,,,,,
Yer Beacon Building,OldManReidGaming,2,,,,,,,,
Yer Beacon Building,Axeman_76,1,,,,,,,,
Yer Beacon Building,Decoy,,,,,,,,,
Yer Beacon Building,Decoy,,,,,,,,,
Yer Beacon Building,Decoy,,,,,,,,,
Nelsonia Tree Service LLC,Decoy,,,,,,,,,
Nelsonia Tree Service LLC,OldManReidGaming,,30,,,,,,,
Nelsonia Tree Service LLC,Axeman_76,,19,,,,,,,
Nelsonia Tree Service LLC,Decoy,,,,,,,,,
Nelsonia Tree Service LLC,Decoy,,,,,,,,,
Nelsonia Tree Service LLC,Decoy,,,,,,,,,
Gaylard Gasthaus,Decoy,,,,,,,,,
Gaylard Gasthaus,OldManReidGaming,,6,21,4,1,,4,,
Gaylard Gasthaus,Axeman_76,,6,21,4,1,,4,,
Gaylard Gasthaus,Decoy,,,,,,,,,
Gaylard Gasthaus,Decoy,,,,,,,,,
Gaylard Gasthaus,Decoy,,,,,,,,,
Will's New New House,Decoy,,,,,,,,,
Will's New New House,OldManReidGaming,,2,,,,,,,
Will's New New House,Axeman_76,,4,,,,,,,
Will's New New House,Decoy,,,,,,,,,
Will's New New House,Decoy,,,,,,,,,
Will's New New House,Decoy,,,,,,,,,
Lesser Lighthouse Village,Decoy,,,,,,,,,
Lesser Lighthouse Village,OldManReidGaming,,8,,,,,,,
Lesser Lighthouse Village,Axeman_76,,15,,,,,,,
Lesser Lighthouse Village,Decoy,,,,,,,,,
Lesser Lighthouse Village,Decoy,,,,,,,,,
Lesser Lighthouse Village,Decoy,,,,,,,,,
Crusty House,Decoy,,,,,,,,,
Crusty House,OldManReidGaming,,,22,,,,,,
Crusty House,Axeman_76,,1,,,,,,,
Crusty House,Decoy,,,,,,,,,
Crusty House,Decoy,,,,,,,,,
Crusty House,Decoy,,,,,,,,,
Crustyland Ice Boat Station,Decoy,,,,,,,,,
Crustyland Ice Boat Station,OldManReidGaming,,2,,,,,,,
Crustyland Ice Boat Station,Axeman_76,,2,,,,,,,
Crustyland Ice Boat Station,Decoy,,,,,,,,,
Crustyland Ice Boat Station,Decoy,,,,,,,,,
Crustyland Ice Boat Station,Decoy,,,,,,,,,
Dashy Station,Decoy,,,,,,,,,
Dashy Station,OldManReidGaming,,2,,,,,,,
Dashy Station,Axeman_76,,2,,,,,,,
Dashy Station,Decoy,,,,,,,,,
Dashy Station,Decoy,,,,,,,,,
Dashy Station,Decoy,,,,,,,,,
West Brick Building,Decoy,,,,,,,,,
West Brick Building,Decoy,,,,,,,,,
West Brick Building,Decoy,,,,,,,,,
West Brick Building,Decoy,,,,,,,,,
West Brick Building,Decoy,,,,,,,,,
West Brick Building,Decoy,,,,,,,,,
Jesus' New Base,Decoy,,,,,,,,,
Jesus' New Base,OldManReidGaming,,,,8,,,,,
